epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2919,1.06175,1.05639,1.16164,0.65008,0.53842,0.58225,0.41862,1.04576,1.09707,1.10573,3.95715e-05,3.95715e-05,3.95715e-05
2,112.321,1.0525,1.08063,1.14667,0.63777,0.52381,0.56345,0.40134,1.06933,1.15488,1.12457,7.66233e-05,7.66233e-05,7.66233e-05
3,165.256,1.05868,1.10943,1.15417,0.62305,0.51573,0.54393,0.38354,1.09726,1.21318,1.14134,0.000111057,0.000111057,0.000111057
4,219.466,1.06802,1.1155,1.14875,0.62375,0.49464,0.52682,0.37054,1.11788,1.23894,1.15529,0.000107219,0.000107219,0.000107219
5,272.272,1.06331,1.09671,1.15203,0.58858,0.49452,0.52268,0.36793,1.11888,1.23632,1.15865,0.000103292,0.000103292,0.000103292
6,326.422,1.05613,1.07639,1.14435,0.61396,0.49502,0.52265,0.36892,1.11671,1.24168,1.15705,9.9365e-05,9.9365e-05,9.9365e-05
7,380.248,1.04425,1.05381,1.13869,0.64133,0.49401,0.52324,0.36643,1.12137,1.22787,1.16025,9.5438e-05,9.5438e-05,9.5438e-05
8,433.764,1.04285,1.02783,1.13659,0.60401,0.50148,0.52744,0.37451,1.12493,1.23437,1.16322,9.1511e-05,9.1511e-05,9.1511e-05
9,487.317,1.03185,1.0097,1.12781,0.6236,0.49289,0.5253,0.36987,1.12135,1.23507,1.16248,8.7584e-05,8.7584e-05,8.7584e-05
10,541.05,1.02313,0.99669,1.12429,0.63086,0.49254,0.52364,0.36963,1.12432,1.23485,1.16287,8.3657e-05,8.3657e-05,8.3657e-05
11,594.526,1.01357,0.99002,1.11989,0.6194,0.48767,0.51967,0.36758,1.12628,1.2318,1.16229,7.973e-05,7.973e-05,7.973e-05
12,647.247,1.00789,0.97843,1.11792,0.60728,0.49509,0.52117,0.36705,1.12737,1.23879,1.16475,7.5803e-05,7.5803e-05,7.5803e-05
13,700.949,1.00319,0.96261,1.1144,0.63563,0.48961,0.5231,0.3674,1.1256,1.23438,1.16148,7.1876e-05,7.1876e-05,7.1876e-05
14,755.277,0.99848,0.93468,1.10737,0.63596,0.48579,0.52275,0.36703,1.13293,1.22742,1.16583,6.7949e-05,6.7949e-05,6.7949e-05
15,809.457,0.98809,0.92269,1.10392,0.64686,0.48552,0.52713,0.37099,1.12405,1.2271,1.16284,6.4022e-05,6.4022e-05,6.4022e-05
16,862.376,0.9838,0.91502,1.10128,0.61257,0.49009,0.51946,0.36605,1.12565,1.23386,1.16304,6.0095e-05,6.0095e-05,6.0095e-05
17,916.174,0.9816,0.91137,1.09928,0.63732,0.48676,0.53003,0.37148,1.12488,1.22647,1.16418,5.6168e-05,5.6168e-05,5.6168e-05
18,968.402,0.97255,0.88956,1.09632,0.61701,0.49386,0.52418,0.36844,1.11786,1.23005,1.15807,5.2241e-05,5.2241e-05,5.2241e-05
19,1021.85,0.96298,0.88004,1.08943,0.61014,0.50024,0.5273,0.37119,1.12342,1.22703,1.16742,4.8314e-05,4.8314e-05,4.8314e-05
20,1075.24,0.95228,0.86046,1.08474,0.64461,0.48759,0.52833,0.37294,1.12042,1.22386,1.16571,4.4387e-05,4.4387e-05,4.4387e-05
21,1141.88,0.95091,0.81286,1.06737,0.6369,0.4797,0.5228,0.3673,1.13063,1.24728,1.17854,4.046e-05,4.046e-05,4.046e-05
22,1195.54,0.92295,0.76136,1.05098,0.64513,0.48609,0.51846,0.36598,1.13039,1.24374,1.17435,3.6533e-05,3.6533e-05,3.6533e-05
23,1247.62,0.91097,0.74617,1.04414,0.64101,0.48494,0.52259,0.36815,1.13167,1.2461,1.171,3.2606e-05,3.2606e-05,3.2606e-05
24,1301.36,0.90293,0.7351,1.03637,0.64775,0.48032,0.52563,0.37154,1.12751,1.24336,1.17038,2.8679e-05,2.8679e-05,2.8679e-05
25,1353.81,0.89297,0.7114,1.03158,0.63308,0.49056,0.52268,0.36976,1.13057,1.23908,1.17319,2.4752e-05,2.4752e-05,2.4752e-05
26,1407.37,0.88895,0.69489,1.02747,0.61199,0.50049,0.52561,0.37201,1.1278,1.23457,1.17247,2.0825e-05,2.0825e-05,2.0825e-05
27,1459.97,0.88623,0.69316,1.02683,0.63083,0.48604,0.52262,0.37,1.12614,1.23815,1.16992,1.6898e-05,1.6898e-05,1.6898e-05
28,1513.07,0.87803,0.68118,1.02005,0.64886,0.4893,0.52337,0.37041,1.13071,1.2372,1.17389,1.2971e-05,1.2971e-05,1.2971e-05
29,1565.68,0.87915,0.681,1.02181,0.6516,0.4821,0.52443,0.37028,1.13256,1.23727,1.17318,9.044e-06,9.044e-06,9.044e-06
30,1618.24,0.86914,0.67446,1.01643,0.6405,0.48425,0.52502,0.37124,1.12881,1.23532,1.17393,5.117e-06,5.117e-06,5.117e-06
